,A1,A2,A3,A4,A5,A6,A7
0,1,1,0,1,1,1,1
1,1,1,1,1,1,1,1
2,1,0,1,1,1,1,1
3,1,1,1,1,0,1,0
4,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1
6,1,0,1,1,1,1,1
7,1,1,1,0,1,1,1
8,1,0,1,1,1,1,1
9,1,1,0,1,1,1,1
10,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1
15,1,1,1,1,1,1,0
16,1,1,1,1,1,1,1
17,1,1,1,1,1,1,0
18,1,1,1,1,1,1,1
19,1,1,1,1,1,0,0
20,1,1,1,0,1,1,1
21,0,1,1,1,1,1,1
22,1,1,1,1,0,1,1
23,1,1,0,1,1,1,1
24,0,1,1,1,1,1,1
25,1,1,1,1,1,1,1
26,1,1,0,1,1,0,1
27,1,1,1,1,1,1,1
28,0,1,1,0,1,1,1
29,1,1,1,0,1,1,1
30,1,1,1,0,0,0,0
31,1,1,1,1,0,1,1
32,1,1,1,1,0,1,1
33,1,1,1,0,1,1,1
34,0,1,1,0,1,1,1
35,0,0,1,0,1,0,1
36,1,1,0,1,1,1,1
37,1,1,1,1,1,1,1
38,1,0,1,1,0,1,1
39,1,1,0,1,1,1,1
40,1,1,0,1,1,1,0
41,0,0,1,1,1,1,0
42,1,1,1,1,1,1,1
43,1,1,1,1,1,1,1
44,1,1,1,1,1,1,1
45,1,1,1,0,1,0,1
46,1,1,1,0,1,0,0
47,0,0,1,1,1,1,1
48,1,1,0,1,0,1,1
49,0,1,1,1,1,1,0
50,1,1,1,1,0,1,1
51,0,1,1,1,1,1,0
52,1,1,1,1,1,1,1
53,1,0,1,1,1,1,1
54,1,1,0,1,0,1,1
55,1,1,1,1,1,1,1
56,1,1,1,1,1,1,1
57,0,1,1,1,1,1,1
58,0,1,1,1,1,1,1
59,1,1,1,1,1,1,1
60,1,0,1,1,1,1,1
61,1,1,0,1,0,1,1
62,0,0,1,0,1,1,1
63,1,1,1,1,1,1,1
64,0,1,1,1,1,1,1
65,0,1,1,0,1,1,1
66,0,1,0,1,1,1,1
67,1,0,1,1,1,1,1
68,1,0,1,1,0,0,1
69,1,1,1,1,1,1,0
70,1,1,1,1,1,1,1
71,1,1,1,1,1,1,1
72,1,1,1,0,1,0,1
73,1,1,1,1,1,1,1
74,1,1,0,0,1,1,1
