,A1,A3,A5,A7,dui/cuo
0,1,0,0,1,1
1,0,1,1,1,1
2,1,1,0,1,1
3,0,0,0,1,1
4,0,1,1,1,1
5,1,1,0,1,1
6,1,0,1,1,1
7,1,0,0,1,1
8,0,1,0,1,1
9,0,0,1,1,1
10,0,1,1,1,1
11,0,1,1,0,0
12,1,0,1,1,1
13,1,1,1,1,1
14,0,1,0,1,1
15,1,1,1,0,0
16,0,0,0,1,1
17,0,0,1,0,0
18,1,1,0,0,0
19,0,0,1,1,1
20,0,0,1,1,1
21,1,1,1,1,1
22,1,1,1,0,0
23,1,1,1,1,1
24,0,1,1,1,1
25,1,1,1,1,1
26,1,1,1,1,1
27,1,1,1,0,0
28,0,1,1,0,0
29,0,0,0,1,1
30,1,0,0,0,0
31,1,1,1,1,1
32,1,1,1,1,1
33,1,1,1,1,1
34,0,1,1,1,1
35,0,0,1,1,1
36,1,1,1,0,0
37,1,1,0,1,1
38,1,1,1,1,1
39,0,1,1,1,1
40,1,0,0,1,1
41,1,1,1,1,1
42,0,1,0,0,0
43,0,0,0,1,1
44,0,1,1,1,1
45,0,0,1,0,0
46,1,0,1,1,1
47,1,0,1,1,1
48,0,1,1,1,1
49,0,0,0,1,1
50,0,0,1,1,1
51,1,1,1,1,1
52,1,1,0,1,1
53,1,1,1,1,1
54,1,1,1,1,1
55,0,1,1,1,1
56,1,1,0,1,1
57,0,1,1,1,1
58,0,1,0,1,1
59,1,0,1,1,1
60,0,1,1,1,1
61,1,0,1,1,1
62,0,0,1,1,1
63,1,1,1,1,1
64,1,1,1,1,1
65,1,1,1,1,1
66,1,1,1,1,1
67,0,0,1,1,1
68,1,1,0,1,1
69,0,0,1,1,1
70,1,0,0,1,1
71,0,0,1,0,0
72,1,1,1,0,0
73,1,0,1,0,0
74,0,1,1,0,0
75,0,0,0,0,0
76,0,0,0,0,0
77,0,0,1,0,0
78,1,0,1,0,0
79,0,1,1,1,1
80,1,0,0,1,1
81,1,0,1,1,1
82,1,1,1,1,1
83,1,1,1,0,0
84,0,0,1,0,0
85,1,1,1,0,0
86,1,1,0,0,0
87,0,1,1,1,1
88,0,0,0,1,1
89,1,0,1,1,1
90,0,0,1,1,1
91,1,0,1,1,1
92,1,1,1,0,0
93,0,0,0,1,1
94,1,1,0,0,0
95,0,0,1,1,1
96,1,0,0,1,1
97,1,0,1,0,0
98,1,1,1,0,0
99,0,1,1,0,0
100,1,1,1,0,0
101,0,0,0,1,1
102,0,1,1,1,1
103,1,0,0,0,0
104,0,1,0,1,1
105,0,1,1,0,0
106,1,1,1,1,1
107,0,1,0,1,1
108,0,0,0,1,1
109,1,1,0,0,0
110,1,0,0,1,1
111,1,0,1,1,1
112,0,0,1,0,0
113,1,0,0,1,1
114,0,1,1,0,0
115,1,1,1,1,1
116,0,1,0,1,1
117,1,0,1,1,1
118,1,1,1,0,0
119,1,0,0,0,0
120,1,0,0,1,1
121,0,1,1,0,0
122,1,0,1,0,0
123,1,0,1,0,0
124,0,0,1,1,1
125,1,1,1,1,1
126,0,0,0,1,1
127,1,1,1,1,1
128,1,0,1,1,1
129,0,0,1,1,1
130,1,0,1,0,0
131,1,1,1,1,1
132,1,0,1,1,1
133,1,1,0,0,0
134,1,0,1,1,1
135,1,0,1,1,1
136,1,1,1,1,1
137,0,0,1,1,1
138,1,0,1,0,0
139,1,0,1,0,0
140,1,1,1,1,1
141,0,1,0,1,1
142,1,1,1,1,1
143,0,1,1,0,0
144,1,1,0,1,1
145,0,0,1,1,1
146,1,1,0,0,0
147,1,1,1,1,1
148,0,1,1,1,1
149,0,0,1,0,0
150,1,1,0,0,0
151,1,0,0,0,0
152,0,0,0,0,0
153,1,1,1,0,0
154,0,0,1,1,1
155,0,1,0,1,1
156,0,1,1,0,0
157,1,0,0,1,1
158,1,1,1,1,1
159,0,0,1,0,0
160,1,1,1,1,1
161,1,0,0,0,0
162,1,1,1,1,1
163,1,1,0,1,1
164,1,0,1,0,0
165,0,1,0,1,1
166,1,0,1,1,1
167,1,0,1,0,0
168,1,1,1,0,0
169,1,1,0,1,1
170,1,0,1,1,1
171,1,0,1,0,0
172,1,0,0,0,0
173,0,1,1,1,1
174,1,0,1,1,1
175,1,1,1,1,1
176,0,1,1,1,1
177,1,0,1,1,1
178,1,0,1,0,0
179,1,1,1,1,1
180,1,1,1,1,1
181,1,1,0,0,0
182,1,0,1,0,0
183,1,1,0,0,0
184,1,0,1,1,1
185,1,1,1,1,1
186,0,0,1,0,0
187,1,0,0,1,1
188,1,1,1,1,1
189,0,1,1,1,1
190,0,1,1,0,0
191,0,1,0,0,0
192,0,0,0,1,1
193,1,1,1,0,0
194,0,0,0,0,0
195,1,1,0,1,1
196,0,1,0,0,0
197,0,1,1,1,1
198,1,0,0,1,1
199,1,0,1,0,0
200,1,1,1,1,1
201,1,0,1,1,1
202,1,0,1,0,0
203,0,1,0,1,1
204,1,1,0,0,0
205,1,0,1,0,0
206,1,1,0,1,1
207,1,1,1,1,1
208,1,1,0,1,1
209,1,0,0,0,0
210,0,1,0,0,0
211,1,0,0,0,0
212,1,1,1,0,0
213,0,1,0,0,0
214,1,1,1,0,0
215,0,1,1,1,1
216,0,1,0,1,1
217,1,0,1,0,0
218,0,0,1,1,1
219,1,0,1,0,0
220,1,0,1,0,0
221,1,1,0,0,0
222,0,1,1,1,1
223,1,1,1,0,0
224,1,1,0,1,1
225,1,1,0,1,1
226,0,1,1,0,0
227,1,1,1,0,0
228,1,0,0,0,0
229,1,1,1,0,0
230,1,1,1,0,0
231,0,1,1,1,1
232,0,1,1,1,1
233,1,1,0,1,1
234,0,0,1,1,1
235,1,1,1,0,0
236,0,0,1,0,0
237,1,0,1,1,1
238,0,1,1,0,0
239,1,0,1,0,0
240,1,1,1,1,1
241,1,1,1,1,1
242,1,1,0,0,0
243,1,0,1,1,1
244,1,0,1,0,0
245,1,1,1,0,0
246,0,0,1,1,1
247,1,1,1,1,1
248,1,1,1,1,1
249,1,0,1,1,1
250,1,1,1,1,1
251,1,1,1,0,0
252,1,1,1,1,1
253,1,0,0,0,0
254,0,0,1,0,0
255,0,1,1,1,1
256,1,1,0,0,0
257,1,1,0,1,1
258,1,0,1,1,1
259,0,1,1,0,0
260,1,1,0,1,1
261,0,1,1,1,1
262,0,1,1,0,0
263,1,1,0,1,1
264,1,1,1,1,1
265,0,1,1,1,1
266,1,1,1,1,1
267,0,1,0,1,1
268,0,0,0,1,1
269,1,0,1,1,1
270,0,1,0,1,1
271,1,0,0,1,1
272,0,1,1,1,1
273,1,0,1,0,0
274,0,0,0,0,0
275,1,1,1,1,1
276,1,0,0,1,1
277,1,1,1,1,1
278,1,1,0,0,0
279,0,1,1,1,1
280,1,0,1,0,0
281,1,0,1,1,1
282,0,0,1,0,0
283,1,1,0,1,1
284,1,0,0,1,1
285,1,1,0,1,1
286,1,1,1,1,1
287,1,1,0,0,0
288,1,1,1,1,1
289,1,1,0,1,1
290,1,1,1,1,1
291,1,0,1,1,1
292,0,1,1,1,1
293,1,1,1,1,1
294,1,0,1,1,1
295,1,1,1,0,0
296,0,1,1,1,1
297,0,1,1,1,1
298,1,1,0,1,1
299,0,1,1,1,1
300,1,0,1,1,1
301,1,1,1,1,1
302,1,0,1,0,0
303,1,1,1,1,1
304,0,0,1,1,1
305,0,1,0,0,0
306,1,1,1,1,1
307,1,1,1,0,0
308,1,0,0,1,1
309,1,1,1,0,0
310,0,1,1,0,0
311,1,1,1,0,0
312,1,1,0,1,1
313,0,1,1,1,1
314,1,1,1,0,0
315,0,1,1,0,0
316,0,1,0,0,0
317,1,1,1,1,1
318,1,1,0,1,1
319,0,1,1,1,1
320,0,1,1,1,1
321,1,1,1,1,1
322,1,1,0,0,0
323,1,1,1,1,1
324,0,1,1,1,1
325,1,1,0,0,0
326,0,0,1,1,1
327,1,0,1,0,0
328,1,1,1,0,0
329,0,1,0,1,1
330,1,1,1,0,0
331,0,1,1,1,1
332,1,1,1,1,1
333,1,0,1,0,0
334,0,1,1,1,1
335,0,1,1,1,1
336,0,1,1,1,1
337,0,0,1,1,1
338,0,1,1,1,1
339,1,1,1,0,0
340,1,1,0,0,0
341,1,1,1,1,1
342,1,1,1,1,1
343,1,1,1,0,0
344,0,0,0,1,1
345,0,1,1,1,1
346,0,1,1,1,1
347,1,1,1,0,0
348,0,1,1,1,1
349,1,0,0,1,1
350,0,0,1,0,0
351,1,1,1,1,1
352,0,1,1,1,1
353,1,1,1,1,1
354,1,1,1,1,1
355,0,1,0,0,0
356,0,1,1,1,1
357,1,0,1,1,1
358,0,0,1,1,1
359,0,1,1,1,1
360,0,0,0,1,1
361,0,1,1,1,1
362,1,0,0,1,1
363,1,0,1,1,1
364,1,0,0,0,0
365,1,1,1,0,0
366,0,0,1,0,0
367,0,1,1,1,1
368,1,1,1,1,1
369,1,1,0,0,0
370,0,0,1,0,0
371,0,0,0,0,0
372,0,1,1,1,1
373,0,1,1,0,0
374,0,1,0,0,0
375,0,0,0,1,1
376,0,1,1,1,1
377,1,0,1,1,1
378,1,1,0,1,1
379,1,1,1,1,1
380,1,1,0,1,1
381,0,1,1,1,1
382,1,1,1,1,1
383,1,1,1,1,1
384,0,0,1,0,0
385,1,0,0,1,1
386,0,1,1,1,1
387,1,1,1,1,1
388,1,1,0,0,0
389,0,1,0,0,0
390,0,1,1,1,1
391,1,1,1,1,1
392,0,1,1,0,0
393,1,1,1,0,0
394,1,1,1,1,1
395,0,0,0,0,0
396,0,0,1,1,1
397,1,1,0,1,1
398,1,1,1,0,0
399,1,1,1,1,1
400,0,0,0,1,1
401,1,1,1,0,0
402,0,0,1,1,1
403,0,1,1,0,0
404,0,1,0,0,0
405,0,1,0,1,1
406,0,0,1,0,0
407,1,1,0,1,1
408,0,0,0,1,1
409,1,1,1,1,1
410,1,0,1,1,1
411,1,1,1,1,1
412,1,1,1,0,0
413,1,1,1,1,1
414,0,0,1,1,1
415,1,1,1,1,1
416,1,1,0,1,1
417,0,1,1,1,1
418,0,1,1,0,0
419,0,0,0,1,1
420,1,1,0,1,1
