,A1,A4,A6,dui/cuo
0,0,1,0,0
1,0,0,1,1
2,1,1,0,0
3,1,1,1,1
4,1,1,0,0
5,0,0,0,0
6,1,0,1,1
7,0,1,0,0
8,0,1,0,0
9,0,1,0,0
10,0,0,1,1
11,1,1,1,1
12,0,0,0,0
13,1,0,0,0
14,0,1,0,0
15,1,0,0,0
16,1,1,1,1
17,0,0,0,0
18,1,0,0,0
19,0,0,1,1
20,0,0,1,1
21,1,0,0,0
22,1,1,0,0
23,0,0,0,0
24,0,1,1,1
25,1,0,0,0
26,0,0,0,0
27,1,0,0,0
28,1,0,1,1
29,1,1,1,1
30,0,1,0,0
31,1,0,0,0
32,0,1,0,0
33,1,0,0,0
34,1,0,1,1
35,0,0,1,1
36,0,0,0,0
37,0,0,1,1
38,1,1,0,0
39,1,0,0,0
40,0,0,0,0
41,0,0,0,0
42,1,1,1,1
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,1,1,0,0
47,1,0,0,0
48,0,0,1,1
49,1,0,1,1
50,1,0,1,1
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,1,1,1
55,0,1,1,1
56,0,0,0,0
57,0,0,0,0
58,0,0,1,1
59,0,0,1,1
60,0,1,0,0
61,1,0,1,1
62,0,0,0,0
63,1,0,1,1
64,1,1,0,0
65,0,0,0,0
66,0,0,1,1
67,0,1,0,0
68,1,1,0,0
69,1,0,0,0
70,0,0,0,0
71,1,1,1,1
72,0,1,0,0
73,1,1,0,0
74,0,0,0,0
75,1,1,0,0
76,0,1,1,1
77,1,1,0,0
78,0,0,0,0
79,0,0,0,0
80,0,0,0,0
81,0,0,0,0
82,0,1,0,0
83,1,0,0,0
84,1,1,1,1
85,1,1,0,0
86,0,0,0,0
87,0,1,1,1
88,0,1,0,0
89,0,0,0,0
90,0,1,0,0
91,0,0,0,0
92,0,0,1,1
93,1,0,1,1
94,0,1,1,1
95,1,1,0,0
96,1,0,1,1
97,1,0,0,0
98,1,0,0,0
99,0,1,0,0
100,1,0,1,1
101,1,1,1,1
102,1,1,1,1
103,1,1,1,1
104,1,1,0,0
105,1,1,1,1
106,0,0,1,1
107,0,0,0,0
108,1,0,1,1
109,0,1,0,0
110,0,0,1,1
111,0,0,1,1
112,1,0,1,1
113,1,0,1,1
114,0,1,0,0
115,0,0,1,1
116,1,0,1,1
117,0,0,0,0
118,0,0,1,1
119,1,0,0,0
120,0,0,1,1
121,0,0,0,0
122,0,1,0,0
123,1,1,0,0
124,0,0,1,1
125,1,0,0,0
126,0,1,1,1
127,1,0,0,0
128,0,1,1,1
129,0,1,1,1
130,1,1,1,1
131,1,1,1,1
132,0,1,1,1
133,0,1,0,0
134,1,0,1,1
135,0,0,0,0
136,0,1,0,0
137,0,0,0,0
138,0,0,0,0
139,0,0,1,1
140,0,1,0,0
141,0,1,1,1
142,0,0,0,0
143,1,0,0,0
144,0,0,0,0
145,1,0,0,0
146,1,0,0,0
147,1,0,1,1
148,0,1,0,0
149,1,1,0,0
150,1,0,0,0
151,0,0,0,0
152,0,1,1,1
153,0,1,0,0
154,0,1,0,0
155,0,1,1,1
156,1,0,0,0
157,1,0,0,0
158,0,0,0,0
159,0,0,0,0
160,0,0,0,0
161,1,0,0,0
162,0,0,0,0
163,0,0,1,1
164,1,0,1,1
165,1,0,0,0
166,1,0,0,0
167,0,1,0,0
168,1,1,1,1
169,1,1,0,0
170,1,1,1,1
171,0,1,0,0
172,0,0,1,1
173,1,0,0,0
174,0,0,0,0
175,1,0,1,1
176,0,0,1,1
177,0,0,1,1
178,0,0,1,1
179,1,1,0,0
180,1,0,1,1
181,1,0,0,0
182,0,1,0,0
183,1,1,1,1
184,0,1,0,0
185,0,0,1,1
186,1,0,0,0
187,0,0,1,1
188,1,1,0,0
189,1,0,0,0
190,0,1,0,0
191,1,1,0,0
192,0,1,0,0
193,1,1,1,1
194,1,0,1,1
195,1,0,1,1
196,0,1,1,1
197,0,0,1,1
198,0,1,0,0
199,0,1,1,1
200,1,1,0,0
201,1,0,1,1
202,0,1,0,0
203,0,1,1,1
204,0,0,0,0
205,0,1,1,1
206,0,1,1,1
207,0,0,0,0
208,0,0,0,0
209,0,1,1,1
210,1,1,0,0
211,0,0,1,1
212,0,1,1,1
213,0,0,0,0
214,0,1,0,0
215,0,0,0,0
216,1,1,1,1
217,1,0,0,0
218,0,0,1,1
219,1,0,0,0
220,0,0,0,0
221,0,0,0,0
222,0,1,1,1
223,1,0,0,0
224,0,0,0,0
225,0,0,1,1
226,0,0,1,1
227,0,0,0,0
228,0,1,0,0
229,1,0,1,1
230,1,0,0,0
231,0,1,1,1
232,0,1,1,1
233,0,1,1,1
234,0,1,0,0
235,0,0,0,0
236,0,0,0,0
237,1,0,0,0
238,1,1,0,0
239,0,0,0,0
240,1,0,1,1
241,1,1,1,1
242,0,1,1,1
243,1,0,0,0
244,1,1,1,1
245,1,0,0,0
246,0,0,0,0
247,1,0,1,1
248,1,0,0,0
249,0,0,0,0
250,0,0,0,0
251,0,1,1,1
252,0,0,0,0
253,1,0,1,1
254,1,1,1,1
255,0,1,1,1
256,1,0,0,0
257,1,0,0,0
258,0,0,0,0
259,0,0,0,0
260,1,1,1,1
261,1,1,1,1
262,1,0,1,1
263,0,1,0,0
264,1,1,1,1
265,0,0,0,0
266,0,1,1,1
267,0,1,0,0
268,0,1,0,0
269,0,0,0,0
270,0,1,1,1
271,1,1,1,1
272,0,0,0,0
273,0,0,1,1
274,0,0,0,0
275,0,0,0,0
276,1,0,0,0
277,1,1,1,1
278,0,0,0,0
279,1,1,0,0
280,0,1,0,0
281,0,0,0,0
282,1,1,0,0
283,0,1,0,0
284,0,0,0,0
285,0,1,0,0
286,1,1,0,0
287,1,0,0,0
288,1,0,1,1
289,1,1,1,1
290,1,0,1,1
291,0,1,1,1
292,1,1,1,1
293,0,0,1,1
294,0,0,0,0
295,1,1,1,1
296,1,0,0,0
297,0,0,0,0
298,0,0,0,0
299,1,0,0,0
300,0,1,1,1
301,1,0,1,1
302,0,1,0,0
303,0,0,1,1
304,0,0,0,0
305,0,0,1,1
306,0,0,0,0
307,0,0,0,0
308,0,0,0,0
309,0,0,1,1
310,0,0,1,1
311,1,1,0,0
312,0,0,1,1
313,0,1,0,0
314,0,1,0,0
315,0,1,1,1
316,0,0,1,1
317,0,1,0,0
318,1,1,1,1
319,1,1,0,0
320,0,0,1,1
321,0,0,0,0
322,1,1,0,0
323,1,0,1,1
324,0,0,0,0
325,1,0,1,1
326,1,0,0,0
327,0,1,1,1
328,0,0,0,0
329,1,1,0,0
330,1,0,1,1
331,1,1,0,0
332,0,0,0,0
333,0,0,0,0
334,0,0,0,0
335,1,0,1,1
336,1,0,0,0
337,1,0,0,0
338,0,0,0,0
339,0,1,0,0
340,1,1,0,0
341,0,0,0,0
342,1,1,0,0
343,0,1,1,1
344,0,0,1,1
345,1,1,0,0
346,1,1,1,1
347,0,0,1,1
348,1,0,1,1
349,0,0,0,0
350,0,1,1,1
351,0,0,1,1
352,1,0,0,0
353,0,1,0,0
354,0,0,0,0
355,0,1,0,0
356,1,1,1,1
357,1,1,1,1
358,0,1,0,0
359,0,0,0,0
360,1,0,1,1
361,0,0,1,1
362,1,1,0,0
363,0,0,1,1
364,1,1,1,1
365,1,1,1,1
366,0,0,0,0
367,0,1,0,0
368,0,1,0,0
369,1,0,0,0
370,0,0,1,1
371,1,0,0,0
372,0,0,0,0
373,0,0,0,0
374,0,1,1,1
375,0,0,1,1
376,1,0,1,1
377,1,0,0,0
378,1,0,0,0
379,1,1,0,0
380,1,0,1,1
381,0,0,1,1
382,1,0,1,1
383,0,0,0,0
384,0,0,0,0
385,1,1,0,0
386,0,1,1,1
387,1,0,1,1
388,0,0,1,1
389,0,0,0,0
390,0,0,1,1
391,0,1,1,1
392,0,0,0,0
393,0,0,0,0
394,0,0,0,0
395,0,1,1,1
396,0,1,1,1
397,1,0,1,1
398,1,1,0,0
399,0,0,1,1
400,1,0,0,0
401,1,0,0,0
402,0,1,1,1
403,0,0,1,1
404,1,1,1,1
405,0,0,0,0
406,0,1,0,0
407,1,1,1,1
408,0,0,0,0
409,0,1,0,0
410,0,1,1,1
411,0,0,1,1
412,1,1,1,1
413,0,0,0,0
414,0,1,0,0
415,1,1,1,1
416,0,1,1,1
417,0,1,0,0
418,0,1,0,0
419,1,0,1,1
420,1,0,0,0
421,0,1,1,1
422,0,1,1,1
423,1,0,1,1
424,1,1,1,1
425,1,0,1,1
426,0,1,0,0
427,0,0,1,1
428,0,1,1,1
429,1,1,1,1
430,1,1,1,1
431,0,1,1,1
432,1,0,1,1
433,0,0,1,1
434,0,1,1,1
435,1,0,0,0
436,0,0,0,0
437,0,1,0,0
438,0,1,0,0
439,1,0,1,1
440,1,0,0,0
441,1,1,0,0
442,0,1,1,1
443,0,0,0,0
444,1,1,0,0
445,0,0,1,1
446,1,0,1,1
447,0,0,0,0
448,0,1,0,0
449,1,1,0,0
450,0,0,0,0
451,0,1,0,0
452,0,0,1,1
453,1,0,1,1
454,0,0,0,0
455,0,0,1,1
456,1,0,0,0
457,0,0,0,0
458,0,0,0,0
459,0,0,0,0
460,1,0,1,1
461,0,1,0,0
462,0,0,1,1
463,0,0,1,1
464,0,0,0,0
465,0,0,0,0
466,0,0,0,0
467,1,0,0,0
468,1,0,0,0
469,1,1,0,0
470,0,1,0,0
471,1,1,1,1
472,1,1,0,0
473,0,1,1,1
474,1,1,1,1
475,1,0,0,0
476,0,0,1,1
477,0,1,0,0
478,1,0,1,1
479,0,1,1,1
480,0,1,0,0
481,0,0,1,1
482,0,0,1,1
483,0,1,1,1
484,0,1,0,0
485,1,0,0,0
486,1,1,0,0
487,0,1,1,1
488,0,1,0,0
489,0,0,0,0
490,0,1,1,1
491,0,1,0,0
492,1,0,0,0
493,1,1,0,0
494,1,1,0,0
495,1,1,1,1
496,1,0,0,0
497,0,0,0,0
498,0,0,0,0
499,1,1,1,1
500,1,1,1,1
501,1,0,1,1
502,1,0,1,1
503,1,1,1,1
504,1,0,0,0
505,1,0,0,0
506,1,1,0,0
507,0,0,0,0
508,0,0,1,1
509,1,0,0,0
510,0,0,0,0
511,1,0,0,0
512,1,1,0,0
513,0,1,1,1
514,1,0,1,1
515,0,1,1,1
516,0,0,0,0
517,0,0,0,0
518,0,0,0,0
519,1,0,0,0
520,0,0,1,1
521,0,1,0,0
522,0,0,0,0
523,1,1,0,0
524,1,1,1,1
525,0,0,1,1
526,0,0,0,0
527,1,1,0,0
528,1,0,1,1
529,1,1,0,0
530,0,1,0,0
531,1,0,1,1
532,0,0,0,0
533,0,0,0,0
534,1,1,0,0
535,0,1,1,1
536,1,0,0,0
537,1,1,1,1
538,0,0,0,0
539,0,0,0,0
540,1,1,0,0
541,1,0,1,1
542,1,0,1,1
543,1,0,0,0
544,0,0,1,1
545,0,0,1,1
546,0,1,0,0
547,0,0,0,0
548,0,0,0,0
549,0,1,1,1
550,0,0,0,0
551,0,0,0,0
552,0,0,1,1
553,0,1,1,1
